id	name
124	Canada
76	Brazil
380	Italy
324	Guinea
410	Korea, Republic of
250	France
60	Bermuda
706	Somalia
372	Ireland
426	Lesotho
32	Argentina
578	Norway
854	Burkina Faso
376	Israel
36	Australia
360	Indonesia
192	Cuba
352	Iceland
686	Senegal
276	Germany
630	Puerto Rico
643	Russian Federation
616	Poland
724	Spain
528	Netherlands
208	Denmark
608	Philippines
246	Finland
120	Cameroon
840	United States
56	Belgium
752	Sweden
466	Mali
554	New Zealand
388	Jamaica
642	Romania
24	Angola
620	Portugal
233	Estonia
710	South Africa
484	Mexico
826	United Kingdom
458	Malaysia
40	Austria
170	Colombia
300	Greece
392	Japan
562	Niger
52	Barbados
